key,kind,flag,english,urdu_draft,urdu_final_(edit_here),polish_draft,polish_final_(edit_here),notes
detail.drroot.vitaminD,js_template,HEALTH-CHECK,"Vitamin D: {vdUg}µg per 100g. The NHS recommends 10µg per day for everyone. Most people in the UK don't get enough, especially in winter.",وٹامن D: فی 100g میں {vdUg}µg۔ NHS کی سفارش ہے کہ ہر کسی کے لیے روزانہ 10µg۔ برطانیہ میں زیادہ تر لوگوں کو کافی مقدار نہیں ملتی، خاص طور پر سردیوں میں۔,,"Witamina D: {vdUg}µg na 100g. NHS zaleca 10µg dziennie dla każdego. Większość ludzi w Wielkiej Brytanii nie spożywa jej wystarczająco, zwłaszcza zimą.",,
detail.drroot.vitaminD.contributesSuffix,js_template,HEALTH-CHECK, This contributes meaningfully to your daily intake., یہ آپ کی روزانہ کی مقدار میں نمایاں طور پر حصہ ڈالتا ہے۔,, To znacząco przyczynia się do Twojego dziennego spożycia.,,appended when vitD*1000000 > 1.5
detail.drroot.vitaminC,js_template,HEALTH-CHECK,Vitamin C: {vcMg}mg per 100g. Adults need 40mg per day. Vitamin C supports the immune system and helps the body absorb iron.,وٹامن C: فی 100g میں {vcMg}mg۔ بالغ افراد کو روزانہ 40mg کی ضرورت ہوتی ہے۔ وٹامن C مدافعتی نظام کو سہارا دیتا ہے اور جسم کو آئرن جذب کرنے میں مدد دیتا ہے۔,,Witamina C: {vcMg}mg na 100g. Dorośli potrzebują 40mg dziennie. Witamina C wspiera układ odpornościowy i pomaga organizmowi wchłaniać żelazo.,,line approx; near vitamin C block
detail.drroot.vitaminC.goodSourceSuffix,js_template,, Good source., اچھا ذریعہ۔,, Dobre źródło.,,appended when vitC*1000 > 12
detail.nutriscore.label.a,js_literal,,Excellent,بہترین,,Doskonały,,
detail.nutriscore.label.b,js_literal,,Good,اچھا,,Dobry,,
detail.nutriscore.label.c,js_literal,,Average,اوسط,,Przeciętny,,
detail.nutriscore.label.d,js_literal,,Poor,ناقص,,Słaby,,
detail.nutriscore.label.e,js_literal,,Bad,خراب,,Zły,,
detail.nutriscore.advice.a,js_literal,,This product scores well overall for nutritional quality.,یہ پروڈکٹ غذائی معیار کے لحاظ سے مجموعی طور پر اچھے نمبر حاصل کرتی ہے۔,,Ten produkt wypada dobrze pod względem jakości odżywczej.,,
detail.nutriscore.advice.b,js_literal,,A reasonable choice. Could be eaten regularly as part of a balanced diet.,ایک معقول انتخاب۔ متوازن غذا کے حصے کے طور پر باقاعدگی سے کھایا جا سکتا ہے۔,,Rozsądny wybór. Można go spożywać regularnie jako część zbilansowanej diety.,,
detail.nutriscore.advice.c,js_literal,,Moderate nutritional quality. Fine occasionally but check the details.,درمیانہ غذائی معیار۔ کبھی کبھار ٹھیک ہے لیکن تفصیلات چیک کریں۔,,"Umiarkowana jakość odżywcza. W porządku od czasu do czasu, ale sprawdź szczegóły.",,
detail.nutriscore.advice.d,js_literal,,Poor nutritional quality overall. Worth looking for alternatives.,مجموعی طور پر غذائی معیار کمزور ہے۔ متبادل تلاش کرنا بہتر رہے گا۔,,Ogólnie słaba jakość odżywcza. Warto poszukać alternatyw.,,
detail.nutriscore.advice.e,js_literal,,"Very poor nutritional quality. Best kept as an occasional treat, not a regular choice.",غذائی معیار بہت کمزور ہے۔ اسے کبھی کبھار کی عیاشی کے طور پر رکھنا بہتر ہے، باقاعدہ انتخاب کے طور پر نہیں۔,,"Bardzo słaba jakość odżywcza. Najlepiej traktować jako okazjonalny przysmak, a nie regularny wybór.",,
detail.nutriscore.sentence,js_template,HEALTH-CHECK,"Nutri-Score {grade} ({label}). {advice} Nutri-Score is calculated from energy, sugar, saturated fat, sodium, fibre, protein, and fruit/veg content.",Nutri-Score {grade} ({label})۔ {advice} Nutri-Score کا حساب توانائی، چینی، سیر شدہ چکنائی، سوڈیم، ریشے، پروٹین اور پھل/سبزی کے مواد سے لگایا جاتا ہے۔,,"Nutri-Score {grade} ({label}). {advice} Nutri-Score jest obliczany na podstawie energii, cukru, tłuszczów nasyconych, sodu, błonnika, białka oraz zawartości owoców i warzyw.",,
detail.nova.desc.1,js_literal,,Unprocessed or minimally processed food. These are the healthiest choices — whole foods with nothing added.,غیر پروسس شدہ یا کم سے کم پروسس شدہ غذا۔ یہ سب سے صحت مند انتخاب ہیں — مکمل غذائیں جن میں کچھ شامل نہیں کیا گیا۔,,Żywność nieprzetworzona lub minimalnie przetworzona. To najzdrowsze wybory — pełnowartościowe produkty bez żadnych dodatków.,,
detail.nova.desc.2,js_literal,,"Processed culinary ingredients (oils, butter, sugar, salt). Used in cooking rather than eaten alone.",پروسس شدہ پکوان کے اجزاء (تیل، مکھن، چینی، نمک)۔ یہ اکیلے کھانے کے بجائے کھانا پکانے میں استعمال ہوتے ہیں۔,,"Przetworzone składniki kulinarne (oleje, masło, cukier, sól). Używane do gotowania, a nie spożywane samodzielnie.",,
detail.nova.desc.3,js_literal,,"Processed food. Made by adding salt, oil, sugar or other substances to Group 1 foods. Examples: tinned vegetables, cheese, bread.",پروسس شدہ غذا۔ Group 1 کی غذاؤں میں نمک، تیل، چینی یا دیگر اشیاء شامل کر کے بنائی جاتی ہے۔ مثالیں: ڈبہ بند سبزیاں، پنیر، روٹی۔,,"Żywność przetworzona. Powstaje przez dodanie soli, oleju, cukru lub innych substancji do produktów z Grupy 1. Przykłady: warzywa w puszce, ser, chleb.",,
detail.nova.desc.4,js_literal,HEALTH-CHECK,"Ultra-processed food. Industrial formulations with additives like emulsifiers, flavourings, and colours. Research links high ultra-processed food intake to obesity, Type 2 diabetes, and cardiovascular disease.",الٹرا پروسس شدہ غذا۔ ایسی صنعتی تشکیلات جن میں ایمولسیفائرز، فلیورنگ اور رنگ جیسے اضافی اجزاء شامل ہوتے ہیں۔ تحقیق الٹرا پروسس شدہ غذا کے زیادہ استعمال کو موٹاپے، ٹائپ 2 ذیابیطس اور دل کی بیماریوں سے جوڑتی ہے۔,,"Żywność wysoko przetworzona. Przemysłowe formulacje z dodatkami takimi jak emulgatory, aromaty i barwniki. Badania wiążą wysokie spożycie żywności wysoko przetworzonej z otyłością, cukrzycą typu 2 i chorobami układu sercowo-naczyniowego.",,
detail.nova.sentence,js_template,,NOVA Group {nova}: {desc},NOVA Group {nova}: {desc},,Grupa NOVA {nova}: {desc},,
detail.nova.diabetesSuffix,js_template,HEALTH-CHECK," For people managing diabetes, reducing ultra-processed food intake is particularly important — studies show a 17% increase in T2D risk for every 10% increase in ultra-processed food consumption.", ذیابیطس کا انتظام کرنے والے افراد کے لیے الٹرا پروسس شدہ غذا کا استعمال کم کرنا خاص طور پر اہم ہے — مطالعات بتاتے ہیں کہ الٹرا پروسس شدہ غذا کے استعمال میں ہر 10% اضافے پر T2D کے خطرے میں 17% اضافہ ہوتا ہے۔,, Dla osób kontrolujących cukrzycę ograniczenie spożycia żywności wysoko przetworzonej jest szczególnie ważne — badania pokazują wzrost ryzyka cukrzycy typu 2 o 17% na każde 10% wzrostu spożycia żywności wysoko przetworzonej.,,appended when nova===4 and profile is diabetes
detail.drroot.hiddenSodium,js_template,HEALTH-CHECK,Hidden sodium detected: {aliases}. These additives contribute to your overall sodium intake and may not be fully reflected in the salt figure on the label.,چھپا ہوا سوڈیم پایا گیا: {aliases}۔ یہ اضافی اجزاء آپ کے مجموعی سوڈیم کے استعمال میں اضافہ کرتے ہیں اور ممکن ہے کہ لیبل پر دیے گئے نمک کے اعداد میں مکمل طور پر ظاہر نہ ہوں۔,,Wykryto ukryty sód: {aliases}. Te dodatki zwiększają ogólne spożycie sodu i mogą nie być w pełni uwzględnione w wartości soli podanej na etykiecie.,,aliases = comma-joined matched ingredient terms
detail.drroot.attribution,js_template,,Dr RooT says,Dr RooT کہتے ہیں,,Dr RooT mówi,,"<strong>, preceded by drRootAvatar() icon"
notfound.heading.incomplete,js_literal,,Not enough label info,لیبل کی معلومات ناکافی ہیں,,Za mało informacji z etykiety,,showNotFound heading when reason='incomplete'
notfound.heading.notInDb,js_literal,,Product Not Found,پروڈکٹ نہیں ملی,,Nie znaleziono produktu,,showNotFound heading default (not_in_db)
notfound.banner.incomplete.strong,js_template,,"KiP found this product, but key values are missing",KiP کو یہ پروڈکٹ مل گئی، لیکن اہم اقدار غائب ہیں,,"KiP znalazł ten produkt, ale brakuje kluczowych wartości",,banner <strong> for incomplete
notfound.banner.notInDb.strong,js_template,,KiP couldn't find barcode {barcode},KiP کو بارکوڈ {barcode} نہیں مل سکا,,KiP nie znalazł kodu kreskowego {barcode},,banner <strong> for not_in_db
notfound.banner.incomplete.body,js_literal,,"The sugar or salt figures aren't recorded, so KiP can't give you a read. Photograph the label and KiP will read it for you.",چینی یا نمک کے اعداد درج نہیں ہیں، اس لیے KiP آپ کو نتیجہ نہیں دے سکتا۔ لیبل کی تصویر کھینچیں اور KiP اسے آپ کے لیے پڑھ لے گا۔,,"Wartości cukru lub soli nie są zapisane, więc KiP nie może dać odczytu. Sfotografuj etykietę, a KiP odczyta ją za Ciebie.",,banner body for incomplete
notfound.banner.notInDb.body,js_literal,,This product isn't in the Open Food Facts database yet. You can help by adding it.,یہ پروڈکٹ ابھی Open Food Facts ڈیٹابیس میں نہیں ہے۔ آپ اسے شامل کر کے مدد کر سکتے ہیں۔,,"Tego produktu nie ma jeszcze w bazie Open Food Facts. Możesz pomóc, dodając go.",,banner body for not_in_db
notfound.bubble.incomplete,js_literal,,"KiP! KiP! I found it, but I'm missing the numbers that matter. Show me the label.",KiP! KiP! مجھے یہ مل گئی، لیکن جو اعداد اہم ہیں وہ غائب ہیں۔ مجھے لیبل دکھائیں۔,,"KiP! KiP! Znalazłem go, ale brakuje mi liczb, które mają znaczenie. Pokaż mi etykietę.",,SaK/KiP speech bubble for incomplete
notfound.bubble.notInDb,js_literal,,KiP! KiP! I can't find this one yet. But you can help fill the gap.,KiP! KiP! مجھے یہ ابھی نہیں مل رہی۔ لیکن آپ یہ خلا پُر کرنے میں مدد کر سکتے ہیں۔,,KiP! KiP! Tego jeszcze nie mogę znaleźć. Ale możesz pomóc wypełnić tę lukę.,,SaK/KiP speech bubble for not_in_db
notfound.btn.photographLabel,html_text,,Photograph the label,لیبل کی تصویر کھینچیں,,Sfotografuj etykietę,,primary button in showNotFound
notfound.btn.enterManually,html_text,,Enter values manually,اقدار خود درج کریں,,Wprowadź wartości ręcznie,,outline button in showNotFound
contribute.save.btn.submitPhoto,js_literal,,Submit photo,تصویر جمع کرائیں,,Prześlij zdjęcie,,contribute save button text (photo)
contribute.photo.previewCaptured,js_template,,Photo captured: {filename},تصویر کھینچ لی گئی: {filename},,Zrobiono zdjęcie: {filename},,photo preview text node set via textContent
contribute.success.bannerStrong,html_text,,Added to the I500,I500 میں شامل کر دیا گیا,,Dodano do I500,,
contribute.success.bannerBody,html_text,,"Your contribution is in the queue. Next time anyone scans this barcode, the data's there.",آپ کا تعاون قطار میں ہے۔ اگلی بار جب بھی کوئی یہ بارکوڈ اسکین کرے گا، ڈیٹا وہاں موجود ہوگا۔,,"Twój wkład czeka w kolejce. Następnym razem, gdy ktokolwiek zeskanuje ten kod kreskowy, dane będą na miejscu.",,
contribute.success.bubble,html_text,,You've just helped close a gap that the mainstream apps leave open. Thank you.,آپ نے ابھی ایک ایسا خلا پُر کرنے میں مدد کی جسے مرکزی دھارے کی ایپس کھلا چھوڑ دیتی ہیں۔ شکریہ۔,,"Właśnie pomogłeś zamknąć lukę, którą popularne aplikacje zostawiają otwartą. Dziękujemy.",,KiP speech bubble
contribute.success.btn.viewDetails,html_text,,View product details,پروڈکٹ کی تفصیلات دیکھیں,,Zobacz szczegóły produktu,,
error.title,js_literal,,Error,خرابی,,Błąd,,set as result-name textContent in showError()
error.message,js_template,,{msg},{msg},,{msg},,showError(msg) renders the passed error message inside <strong>; message text comes from callers
error.try_again,html_text,,Try again,دوبارہ کوشش کریں,,Spróbuj ponownie,,button label inside showError() template; {msg} rendered above in verdict-text strong
ocr.basis.per_100g,js_literal,,per 100g,فی 100g,,na 100g,,basisLabel() return value
ocr.basis.per_serving,js_literal,,per serving,فی سرونگ,,na porcję,,basisLabel() return value
ocr.basis.unknown,js_literal,,basis unknown,بنیاد معلوم نہیں,,podstawa nieznana,,basisLabel() default return
ocr.visual.label,js_template,,{value}{unit} {nutrient} {basis},{value}{unit} {nutrient} {basis},,{value}{unit} {nutrient} {basis},,visualRow label; nutrient is literal 'salt' or 'sugar'; basis from basisLabel(); verdict HIGH/MEDIUM/LOW may be appended
ocr.basis.uncertain.warning,js_literal,,"Basis unclear. We could not tell whether these values are per 100g or per serving, so treat every figure below with extra caution.",بنیاد واضح نہیں ہے۔ ہم یہ نہیں بتا سکے کہ یہ اقدار فی 100g ہیں یا فی سرونگ، اس لیے نیچے دیے گئے ہر عدد کو زیادہ احتیاط سے دیکھیں۔,,"Niejasna podstawa. Nie mogliśmy ustalić, czy te wartości są podane na 100g, czy na porcję, więc traktuj każdą poniższą liczbę ze szczególną ostrożnością.",,renderReadout basisWarn; 'Basis unclear.' wrapped in <strong>
ocr.row.saturates,js_literal,,of which saturates,جس میں سے سیر شدہ,,w tym kwasy tłuszczowe nasycone,,"indented sub-row; source has two leading spaces used as indent marker, trimmed before display"
ocr.row.carbohydrate,js_literal,,Carbohydrate,کاربوہائیڈریٹ,,Węglowodany,,nutrition row label
ocr.row.salt.derived,js_template,HEALTH-CHECK,(derived from sodium),(سوڈیم سے اخذ کردہ),,(wyliczone z sodu),,appended to Salt value when derived; styled span
ocr.disclaimer.unverified,js_literal,,"Read from your photo — not yet verified. Values we couldn’t read clearly are shown as ‘Data unavailable,’ never as zero. Always check these figures against the label before making a decision.",آپ کی تصویر سے پڑھا گیا — ابھی تصدیق نہیں ہوئی۔ جو اقدار ہم واضح طور پر نہیں پڑھ سکے انہیں ’ڈیٹا دستیاب نہیں‘ کے طور پر دکھایا گیا ہے، کبھی صفر کے طور پر نہیں۔ کوئی فیصلہ کرنے سے پہلے ہمیشہ ان اعداد کا لیبل سے ملان کریں۔,,"Odczytano z Twojego zdjęcia — jeszcze niezweryfikowane. Wartości, których nie udało nam się wyraźnie odczytać, są pokazane jako „Dane niedostępne”, nigdy jako zero. Zawsze porównaj te liczby z etykietą przed podjęciem decyzji.",,EXACT canonical persistent disclaimer; first sentence in <strong>; uses em-dash and curly quotes
ocr.retake_photo,js_literal,,Retake photo,دوبارہ تصویر کھینچیں,,Zrób zdjęcie ponownie,,button label; appears in renderReadout retake button and renderFailure button (line 4053)
ocr.pill.unverified,js_literal,,Unverified,غیر تصدیق شدہ,,Niezweryfikowane,,uppercase pill badge on unverified read card; text-transform:uppercase via CSS
ocr.instant_read,js_template,,Instant read · {basis},فوری نتیجہ · {basis},,Natychmiastowy odczyt · {basis},,middot separator; basis from basisLabel()
ocr.failure.message,js_literal,,We couldn’t read this photo automatically. Your photo is still saved for our team to verify — or type the values into the fields above.,ہم یہ تصویر خودکار طور پر نہیں پڑھ سکے۔ آپ کی تصویر ہماری ٹیم کی تصدیق کے لیے اب بھی محفوظ ہے — یا اوپر دیے گئے خانوں میں اقدار خود درج کریں۔,,"Nie udało nam się automatycznie odczytać tego zdjęcia. Twoje zdjęcie nadal jest zapisane, aby nasz zespół mógł je zweryfikować — albo wpisz wartości w pola powyżej.",,renderFailure() message; em-dash; followed by Retake photo button
ocr.vision.prefill_nudge,js_literal,,"Decoded from your photo. The values are pre-filled above — correct anything wrong, then tap Submit.",آپ کی تصویر سے ڈی کوڈ کیا گیا۔ اقدار اوپر پہلے سے بھر دی گئی ہیں — جو غلط ہو اسے درست کریں، پھر Submit دبائیں۔,,"Odczytano z Twojego zdjęcia. Wartości są wstępnie wypełnione powyżej — popraw to, co błędne, a następnie dotknij Prześlij.",,populateFromVision prepended nudge; em-dash
ocr.status.reading_label,js_literal,,Reading the label…,لیبل پڑھا جا رہا ہے…,,Odczytywanie etykiety…,,renderStatus message in runVisionOCR; ellipsis char
ocr.status.reading_on_device,js_literal,,Reading the label on your device…,آپ کے آلے پر لیبل پڑھا جا رہا ہے…,,Odczytywanie etykiety na Twoim urządzeniu…,,renderStatus message in runLabelOCR (Tesseract on-device path); ellipsis char
